LAP,GAS_TIME,GAS_TIME_(FUEL_CORRECTED),GAS_POSITION,GAS_POSITION_CHANGE,GAS_COMPOUND,GAS_STINT,GAS_PITSTOP,GAS_TIRE_LIFE,GAS_S1,GAS_S2,GAS_S3,GAS_SECTOR_SUM,GAS_STATUS,GAS_PERSONAL_BEST,COL_TIME,COL_TIME_(FUEL_CORRECTED),COL_POSITION,COL_POSITION_CHANGE,COL_COMPOUND,COL_STINT,COL_PITSTOP,COL_TIRE_LIFE,COL_S1,COL_S2,COL_S3,COL_SECTOR_SUM,COL_STATUS,COL_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Lap time adjusted for fuel load (lighter fuel = faster theoretical pace),Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Lap time adjusted for fuel load (lighter fuel = faster theoretical pace),Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
25,74.799,72.85533802816902,13,1,MEDIUM,2,FALSE,7,19.144,38.52,17.135,74.799,1,FALSE,75.987,74.04333803,9,0,MEDIUM,1,FALSE,25,19.408,39.195,17.384,75.987,1,FALSE
26,74.739,72.83759154929578,13,0,MEDIUM,2,FALSE,8,19.107,38.743,16.889,74.739,1,FALSE,76.006,74.10459154929578,9,0,MEDIUM,1,FALSE,26,19.416,39.198,17.392,76.006,1,FALSE
27,76.199,74.33984507042253,13,0,MEDIUM,2,FALSE,9,19.387,39.738,17.074,76.199,1,FALSE,76.581,74.72184507042253,10,-1,MEDIUM,1,FALSE,27,19.725,39.517,17.339,76.581,1,FALSE
28,75.264,73.44709859154929,13,0,MEDIUM,2,FALSE,10,19.28,38.944,17.04,75.26400000000001,1,FALSE,76.059,74.24209859,9,1,MEDIUM,1,FALSE,28,19.422,39.271,17.366,76.059,1,FALSE
29,75.119,73.34435211267606,10,3,MEDIUM,2,FALSE,11,19.15,38.984,16.985,75.119,1,FALSE,79.686,77.91135211267607,12,-3,MEDIUM,1,FALSE,29,19.304,38.964,21.418,79.686,1,FALSE
30,75.17,73.43760563380282,10,0,MEDIUM,2,FALSE,12,19.219,38.95,17.001,75.17,1,FALSE,92.679,90.94660563380282,16,-4,SOFT,2,TRUE,1,37.515,37.973,17.191,92.679,1,FALSE
31,75.137,73.44685915492958,10,0,MEDIUM,2,FALSE,13,19.108,39.058,16.971,75.137,1,FALSE,74.429,72.73885915492959,16,0,SOFT,2,FALSE,2,19.082,38.21,17.137,74.429,1,FALSE
32,75.102,73.45411267605634,10,0,MEDIUM,2,FALSE,14,19.194,38.776,17.132,75.102,1,FALSE,74.301,72.65311267605634,16,0,SOFT,2,FALSE,3,18.995,38.241,17.065,74.301,1,FALSE
33,74.737,73.1313662,10,0,MEDIUM,2,FALSE,15,18.984,38.723,17.03,74.737,1,FALSE,74.622,73.0163662,15,1,SOFT,2,FALSE,4,19.027,38.491,17.104,74.622,1,FALSE
34,75.769,74.20561971830986,10,0,MEDIUM,2,FALSE,16,19.162,39.601,17.006,75.769,1,FALSE,74.573,73.00961971830985,15,0,SOFT,2,FALSE,5,19.105,38.417,17.051,74.57300000000001,1,FALSE
